_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
341.795476500	+44.505705300	673-118335	341.7954765	+44.5057053	29	14.356	0	0	4.4	12.2	12.806	12.336	15.342	14.492	14.240	13.925	0	0	0	0	1	0	0	1	0
341.797315000	+44.478421700	673-118337	341.7973150	+44.4784217	57	14.980	0	0	16.0	8.4	13.296	12.726	16.103	15.150	14.792	14.425	0	0	0	0	0	0	0	1	0
341.797430600	+44.552757500	673-118338	341.7974306	+44.5527575	42	14.162	0	0	41.0	12.3	11.978	11.140	16.029	14.669	14.045	13.432	0	0	0	0	1	0	0	1	0
341.801881500	+44.451496200	673-118343	341.8018815	+44.4514962	77	15.246	0	0	5.2	2.9	13.485	12.892	16.525	15.473	15.014	14.648	0	0	0	0	0	0	0	3	0
341.817314800	+44.551277800	673-118346	341.8173148	+44.5512778	44	14.964	0	0	-8.2	9.1	13.532	13.052	16.244	15.258	14.940	14.601	0	0	0	0	0	0	0	3	0
341.823070300	+44.567756400	673-118349	341.8230703	+44.5677564	84	15.301	0	0	-7.8	-1.5	13.292	12.631	16.659	15.616	15.094	14.606	0	0	0	0	0	0	0	1	0
341.827000900	+44.517968900	673-118351	341.8270009	+44.5179689	24	13.007	0	0	-0.1	-4.4	10.881	10.067	15.479	13.817		12.886	0	0	0	0	1	0	0	1	0
341.830114500	+44.472973100	673-118353	341.8301145	+44.4729731	32	14.324	0	0	-4.3	-6.6	12.760	12.329	15.175	14.358	14.125	13.874	0	0	0	0	1	0	0	1	0
341.832118000	+44.429697500	673-118355	341.8321180	+44.4296975	20	11.672	0	0	23.6	8.5	10.453	10.035	12.399	11.746	11.565	11.356	3	1	0	1	1	0	0	1	0
341.836142100	+44.490288900	673-118358	341.8361421	+44.4902889	47	15.064	0	34	-5.5	-5.6	13.499	13.031	16.276	15.315	14.964	14.589	0	0	0	0	0	0	0	2	0
341.840228300	+44.435809800	673-118360	341.8402283	+44.4358098	39	14.465	0	0	-6.5	-11.8	12.672	12.107	15.438	14.450	14.096	13.790	0	0	0	0	1	0	0	1	0
341.851205900	+44.544438900	673-118363	341.8512059	+44.5444389	19	12.516	0	0	-1.4	-8.3	11.322	10.983	13.288	12.630	12.456	12.234	0	1	0	0	1	0	0	1	0
341.856197100	+44.445981700	673-118366	341.8561971	+44.4459817	99	16.037	0	0	-2.1	0.4	14.535	14.330	16.694	16.082	15.733	15.463	0	0	0	0	0	0	0	1	0
341.859962100	+44.417561400	673-118367	341.8599621	+44.4175614	43	14.734	0	0	-5.8	-4.8	12.902	12.275	16.075	15.027	14.592	14.213	0	0	0	0	0	0	0	1	0
341.862139500	+44.510842300	673-118369	341.8621395	+44.5108423	67	15.599	0	0	-10.0	-3.0	14.169	13.710	17.208	16.000	15.549	15.305	0	0	0	0	0	0	0	1	0
341.879765900	+44.442374800	673-118375	341.8797659	+44.4423748	20	12.164	0	0	5.3	-2.7	10.761	10.364	12.989	12.255	12.029	11.758	0	0	0	1	1	0	0	1	0
341.882267400	+44.538446700	673-118378	341.8822674	+44.5384467	200	15.082	5	0			13.299	12.571	16.685	15.469	14.965	14.631	0	0	0	0	0	0	0	0	0
341.890276200	+44.433987500	673-118379	341.8902762	+44.4339875	68	15.654	0	0	-6.2	-1.5	14.212	13.911	16.241	15.627	15.406		0	0	0	0	0	0	0	7	0
341.891599500	+44.507233400	673-118381	341.8915995	+44.5072334	27	14.368	0	0	-1.7	7.0	13.014	12.619	15.053	14.426	14.224	13.949	0	0	0	0	1	0	0	1	0
341.895965000	+44.421527300	673-118384	341.8959650	+44.4215273	43	14.879	0	0	-4.1	-12.2	13.261	12.665	16.230	15.125	14.789	14.407	0	0	0	0	0	0	0	1	0
341.897424800	+44.513383900	673-118386	341.8974248	+44.5133839	15	12.803	0	0	-4.7	-12.9	11.661	11.267	13.623	12.918	12.737	12.534	0	0	0	1	1	0	0	1	0
341.909786800	+44.480476400	673-118390	341.9097868	+44.4804764	30	13.750	0	34	-3.3	-1.9	12.208	11.845	14.375	13.567	13.328	13.082	0	0	0	0	8	0	0	8	0
